"artista","fecha","visitas"
"Mónica Naranjo","2019-03-25",372
"Mónica Naranjo","2019-03-26",550
"Mónica Naranjo","2019-03-27",576
"Mónica Naranjo","2019-03-28",903
"Mónica Naranjo","2019-03-29",9563
"Mónica Naranjo","2019-03-30",2788
"Mónica Naranjo","2019-03-31",1841
"Mónica Naranjo","2019-04-01",2248
"Mónica Naranjo","2019-04-02",881
"Mónica Naranjo","2019-04-03",652
"Mónica Naranjo","2019-04-04",666
"Mónica Naranjo","2019-04-05",1002
"Mónica Naranjo","2019-04-06",803
"Mónica Naranjo","2019-04-07",10394
"Mónica Naranjo","2019-04-08",1510
"Mónica Naranjo","2019-04-09",1387
"Mónica Naranjo","2019-04-10",888
"Mónica Naranjo","2019-04-11",586
"Mónica Naranjo","2019-04-12",758
"Mónica Naranjo","2019-04-13",747
"Mónica Naranjo","2019-04-14",623
"Mónica Naranjo","2019-04-15",493
"Mónica Naranjo","2019-04-16",503
"Mónica Naranjo","2019-04-17",505
"Mónica Naranjo","2019-04-18",514
"Mónica Naranjo","2019-04-19",559
"Mónica Naranjo","2019-04-20",610
"Mónica Naranjo","2019-04-21",612
"Mónica Naranjo","2019-04-22",479
"Mónica Naranjo","2019-04-23",471
"Mónica Naranjo","2019-04-24",588
"Mónica Naranjo","2019-04-25",473
"Mónica Naranjo","2019-04-26",1020
"Mónica Naranjo","2019-04-27",1213
"Mónica Naranjo","2019-04-28",1094
"Mónica Naranjo","2019-04-29",704
"Mónica Naranjo","2019-04-30",467
"Mónica Naranjo","2019-05-01",658
"Mónica Naranjo","2019-05-02",510
"Mónica Naranjo","2019-05-03",559
"Mónica Naranjo","2019-05-04",613
"Mónica Naranjo","2019-05-05",717
"Mónica Naranjo","2019-05-06",431
"Mónica Naranjo","2019-05-07",435
"Mónica Naranjo","2019-05-08",455
"Mónica Naranjo","2019-05-09",393
"Mónica Naranjo","2019-05-10",379
"Mónica Naranjo","2019-05-11",485
"Mónica Naranjo","2019-05-12",433
"Mónica Naranjo","2019-05-13",391
"Mónica Naranjo","2019-05-14",393
"Mónica Naranjo","2019-05-15",388
"Mónica Naranjo","2019-05-16",382
"Mónica Naranjo","2019-05-17",492
"Mónica Naranjo","2019-05-18",679
"Mónica Naranjo","2019-05-19",547
"Mónica Naranjo","2019-05-20",429
"Mónica Naranjo","2019-05-21",794
"Mónica Naranjo","2019-05-22",529
"Mónica Naranjo","2019-05-23",1120
"Mónica Naranjo","2019-05-24",604
"Mónica Naranjo","2019-05-25",470
"Mónica Naranjo","2019-05-26",436
"Mónica Naranjo","2019-05-27",325
"Mónica Naranjo","2019-05-28",409
"Mónica Naranjo","2019-05-29",356
"Mónica Naranjo","2019-05-30",385
"Mónica Naranjo","2019-05-31",338
"Mónica Naranjo","2019-06-01",395
"Mónica Naranjo","2019-06-02",393
"Mónica Naranjo","2019-06-03",397
"Mónica Naranjo","2019-06-04",455
"Mónica Naranjo","2019-06-05",401
"Mónica Naranjo","2019-06-06",344
"Mónica Naranjo","2019-06-07",465
"Mónica Naranjo","2019-06-08",469
"Mónica Naranjo","2019-06-09",473
"Mónica Naranjo","2019-06-10",542
"Mónica Naranjo","2019-06-11",615
"Mónica Naranjo","2019-06-12",377
"Mónica Naranjo","2019-06-13",458
"Mónica Naranjo","2019-06-14",418
"Mónica Naranjo","2019-06-15",405
"Mónica Naranjo","2019-06-16",473
"Mónica Naranjo","2019-06-17",453
"Mónica Naranjo","2019-06-18",491
"Mónica Naranjo","2019-06-19",601
"Mónica Naranjo","2019-06-20",1170
"Mónica Naranjo","2019-06-21",829
"Mónica Naranjo","2019-06-22",1590
"Mónica Naranjo","2019-06-23",1571
"Mónica Naranjo","2019-06-24",2072
"Mónica Naranjo","2019-06-25",2706
"Mónica Naranjo","2019-06-26",996
"Mónica Naranjo","2019-06-27",554
