"artista","fecha","visitas"
"Tam Tam Go!","2019-03-25",53
"Tam Tam Go!","2019-03-26",46
"Tam Tam Go!","2019-03-27",52
"Tam Tam Go!","2019-03-28",87
"Tam Tam Go!","2019-03-29",57
"Tam Tam Go!","2019-03-30",55
"Tam Tam Go!","2019-03-31",72
"Tam Tam Go!","2019-04-01",46
"Tam Tam Go!","2019-04-02",52
"Tam Tam Go!","2019-04-03",51
"Tam Tam Go!","2019-04-04",79
"Tam Tam Go!","2019-04-05",57
"Tam Tam Go!","2019-04-06",47
"Tam Tam Go!","2019-04-07",61
"Tam Tam Go!","2019-04-08",41
"Tam Tam Go!","2019-04-09",37
"Tam Tam Go!","2019-04-10",39
"Tam Tam Go!","2019-04-11",60
"Tam Tam Go!","2019-04-12",38
"Tam Tam Go!","2019-04-13",36
"Tam Tam Go!","2019-04-14",50
"Tam Tam Go!","2019-04-15",39
"Tam Tam Go!","2019-04-16",51
"Tam Tam Go!","2019-04-17",56
"Tam Tam Go!","2019-04-18",59
"Tam Tam Go!","2019-04-19",54
"Tam Tam Go!","2019-04-20",60
"Tam Tam Go!","2019-04-21",65
"Tam Tam Go!","2019-04-22",47
"Tam Tam Go!","2019-04-23",41
"Tam Tam Go!","2019-04-24",56
"Tam Tam Go!","2019-04-25",50
"Tam Tam Go!","2019-04-26",47
"Tam Tam Go!","2019-04-27",50
"Tam Tam Go!","2019-04-28",36
"Tam Tam Go!","2019-04-29",29
"Tam Tam Go!","2019-04-30",56
"Tam Tam Go!","2019-05-01",57
"Tam Tam Go!","2019-05-02",53
"Tam Tam Go!","2019-05-03",55
"Tam Tam Go!","2019-05-04",49
"Tam Tam Go!","2019-05-05",69
"Tam Tam Go!","2019-05-06",51
"Tam Tam Go!","2019-05-07",46
"Tam Tam Go!","2019-05-08",50
"Tam Tam Go!","2019-05-09",51
"Tam Tam Go!","2019-05-10",47
"Tam Tam Go!","2019-05-11",37
"Tam Tam Go!","2019-05-12",67
"Tam Tam Go!","2019-05-13",47
"Tam Tam Go!","2019-05-14",44
"Tam Tam Go!","2019-05-15",43
"Tam Tam Go!","2019-05-16",48
"Tam Tam Go!","2019-05-17",49
"Tam Tam Go!","2019-05-18",47
"Tam Tam Go!","2019-05-19",34
"Tam Tam Go!","2019-05-20",40
"Tam Tam Go!","2019-05-21",119
"Tam Tam Go!","2019-05-22",77
"Tam Tam Go!","2019-05-23",78
"Tam Tam Go!","2019-05-24",100
"Tam Tam Go!","2019-05-25",68
"Tam Tam Go!","2019-05-26",52
"Tam Tam Go!","2019-05-27",55
"Tam Tam Go!","2019-05-28",60
"Tam Tam Go!","2019-05-29",50
"Tam Tam Go!","2019-05-30",43
"Tam Tam Go!","2019-05-31",47
"Tam Tam Go!","2019-06-01",35
"Tam Tam Go!","2019-06-02",31
"Tam Tam Go!","2019-06-03",45
"Tam Tam Go!","2019-06-04",47
"Tam Tam Go!","2019-06-05",48
"Tam Tam Go!","2019-06-06",55
"Tam Tam Go!","2019-06-07",105
"Tam Tam Go!","2019-06-08",45
"Tam Tam Go!","2019-06-09",38
"Tam Tam Go!","2019-06-10",39
"Tam Tam Go!","2019-06-11",66
"Tam Tam Go!","2019-06-12",59
"Tam Tam Go!","2019-06-13",51
"Tam Tam Go!","2019-06-14",77
"Tam Tam Go!","2019-06-15",39
"Tam Tam Go!","2019-06-16",48
"Tam Tam Go!","2019-06-17",44
"Tam Tam Go!","2019-06-18",65
"Tam Tam Go!","2019-06-19",53
"Tam Tam Go!","2019-06-20",40
"Tam Tam Go!","2019-06-21",67
"Tam Tam Go!","2019-06-22",68
"Tam Tam Go!","2019-06-23",67
"Tam Tam Go!","2019-06-24",58
"Tam Tam Go!","2019-06-25",235
"Tam Tam Go!","2019-06-26",90
"Tam Tam Go!","2019-06-27",74
