artista,fecha,visitas,,
ABBA,2019-03-25,955,,
ABBA,2019-03-26,739,,
ABBA,2019-03-27,737,,
ABBA,2019-03-28,736,,
ABBA,2019-03-29,787,,
ABBA,2019-03-30,991,,
ABBA,2019-03-31,1064,,
ABBA,2019-04-01,911,,
ABBA,2019-04-02,989,,
ABBA,2019-04-03,1376,,
ABBA,2019-04-04,1191,,
ABBA,2019-04-05,1198,,
ABBA,2019-04-06,2708,,
ABBA,2019-04-07,1442,,
ABBA,2019-04-08,981,,
ABBA,2019-04-09,962,,
ABBA,2019-04-10,953,,
ABBA,2019-04-11,897,,
ABBA,2019-04-12,998,,
ABBA,2019-04-13,991,,
ABBA,2019-04-14,1107,,
ABBA,2019-04-15,858,,
ABBA,2019-04-16,749,,
ABBA,2019-04-17,803,,
ABBA,2019-04-18,1156,,
ABBA,2019-04-19,1124,,
ABBA,2019-04-20,1079,,
ABBA,2019-04-21,1060,,
ABBA,2019-04-22,845,,
ABBA,2019-04-23,1065,,
ABBA,2019-04-24,955,,
ABBA,2019-04-25,900,,
ABBA,2019-04-26,798,,
ABBA,2019-04-27,1302,,
ABBA,2019-04-28,1092,,
ABBA,2019-04-29,860,,
ABBA,2019-04-30,866,,
ABBA,2019-05-01,1001,,
ABBA,2019-05-02,901,,
ABBA,2019-05-03,849,,
ABBA,2019-05-04,1088,,
ABBA,2019-05-05,1385,,
ABBA,2019-05-06,1147,,
ABBA,2019-05-07,1358,,
ABBA,2019-05-08,896,,
ABBA,2019-05-09,880,,
ABBA,2019-05-10,950,,
ABBA,2019-05-11,1369,,
ABBA,2019-05-12,1915,,
ABBA,2019-05-13,1658,,
ABBA,2019-05-14,1142,,
ABBA,2019-05-15,1305,,
ABBA,2019-05-16,1145,,
ABBA,2019-05-17,1277,,
ABBA,2019-05-18,5201,,
ABBA,2019-05-19,2447,,
ABBA,2019-05-20,1180,,
ABBA,2019-05-21,1122,,
ABBA,2019-05-22,1187,,
ABBA,2019-05-23,1189,,
ABBA,2019-05-24,1108,,
ABBA,2019-05-25,1287,,
ABBA,2019-05-26,1483,,
ABBA,2019-05-27,1274,,
ABBA,2019-05-28,1113,,
ABBA,2019-05-29,1004,,
ABBA,2019-05-30,1102,,
ABBA,2019-05-31,952,,
ABBA,2019-06-01,1106,,
ABBA,2019-06-02,1316,,
ABBA,2019-06-03,1016,,
ABBA,2019-06-04,994,,
ABBA,2019-06-05,1057,,
ABBA,2019-06-06,1000,,
ABBA,2019-06-07,1302,,
ABBA,2019-06-08,1221,,
ABBA,2019-06-09,1725,,
ABBA,2019-06-10,1051,,
ABBA,2019-06-11,1333,,
ABBA,2019-06-12,1282,,
ABBA,2019-06-13,1248,,
ABBA,2019-06-14,1057,,
ABBA,2019-06-15,1118,,
ABBA,2019-06-16,1291,,
ABBA,2019-06-17,1674,,
ABBA,2019-06-18,1027,,
ABBA,2019-06-19,949,,
ABBA,2019-06-20,993,,
ABBA,2019-06-21,1170,,
ABBA,2019-06-22,1314,,
ABBA,2019-06-23,1532,,
ABBA,2019-06-24,1113,,
ABBA,2019-06-25,1059,,
ABBA,2019-06-26,1457,,
ABBA,2019-06-27,870,,
Adam_&_the_Ants,2019-03-25,13,,
Adam_&_the_Ants,2019-03-26,14,,
Adam_&_the_Ants,2019-03-27,9,,
Adam_&_the_Ants,2019-03-28,12,,
Adam_&_the_Ants,2019-03-29,14,,
Adam_&_the_Ants,2019-03-30,7,,
Adam_&_the_Ants,2019-03-31,7,,
Adam_&_the_Ants,2019-04-01,10,,
Adam_&_the_Ants,2019-04-02,5,,
Adam_&_the_Ants,2019-04-03,15,,
Adam_&_the_Ants,2019-04-04,5,,
Adam_&_the_Ants,2019-04-05,9,,
Adam_&_the_Ants,2019-04-06,6,,
Adam_&_the_Ants,2019-04-07,5,,
Adam_&_the_Ants,2019-04-08,8,,
Adam_&_the_Ants,2019-04-09,5,,
Adam_&_the_Ants,2019-04-10,14,,
Adam_&_the_Ants,2019-04-11,6,,
Adam_&_the_Ants,2019-04-12,6,,
Adam_&_the_Ants,2019-04-13,13,,
Adam_&_the_Ants,2019-04-14,10,,
Adam_&_the_Ants,2019-04-15,12,,
Adam_&_the_Ants,2019-04-16,10,,
Adam_&_the_Ants,2019-04-17,15,,
Adam_&_the_Ants,2019-04-18,13,,
Adam_&_the_Ants,2019-04-19,13,,
Adam_&_the_Ants,2019-04-20,13,,
Adam_&_the_Ants,2019-04-21,15,,
Adam_&_the_Ants,2019-04-22,3,,
Adam_&_the_Ants,2019-04-23,18,,
Adam_&_the_Ants,2019-04-24,7,,
Adam_&_the_Ants,2019-04-25,8,,
Adam_&_the_Ants,2019-04-26,17,,
Adam_&_the_Ants,2019-04-27,16,,
Adam_&_the_Ants,2019-04-28,16,,
Adam_&_the_Ants,2019-04-29,10,,
Adam_&_the_Ants,2019-04-30,9,,
Adam_&_the_Ants,2019-05-01,13,,
Adam_&_the_Ants,2019-05-02,9,,
Adam_&_the_Ants,2019-05-03,14,,
Adam_&_the_Ants,2019-05-04,10,,
Adam_&_the_Ants,2019-05-05,8,,
Adam_&_the_Ants,2019-05-06,8,,
Adam_&_the_Ants,2019-05-07,19,,
Adam_&_the_Ants,2019-05-08,8,,
Adam_&_the_Ants,2019-05-09,11,,
Adam_&_the_Ants,2019-05-10,11,,
Adam_&_the_Ants,2019-05-11,7,,
Adam_&_the_Ants,2019-05-12,4,,
Adam_&_the_Ants,2019-05-13,9,,
Adam_&_the_Ants,2019-05-14,7,,
Adam_&_the_Ants,2019-05-15,15,,
Adam_&_the_Ants,2019-05-16,7,,
Adam_&_the_Ants,2019-05-17,5,,
Adam_&_the_Ants,2019-05-18,8,,
Adam_&_the_Ants,2019-05-19,19,,
Adam_&_the_Ants,2019-05-20,10,,
Adam_&_the_Ants,2019-05-21,12,,
Adam_&_the_Ants,2019-05-22,14,,
Adam_&_the_Ants,2019-05-23,15,,
Adam_&_the_Ants,2019-05-24,18,,
Adam_&_the_Ants,2019-05-25,8,,
Adam_&_the_Ants,2019-05-26,17,,
