artista,fecha,visitas,diferencia
7 Notas 7 Colores,2019-03-04,18,
7 Notas 7 Colores,2019-03-05,22,
7 Notas 7 Colores,2019-03-06,17,
7 Notas 7 Colores,2019-03-07,18,
7 Notas 7 Colores,2019-03-08,18,
7 Notas 7 Colores,2019-03-09,28,
7 Notas 7 Colores,2019-03-10,18,
7 Notas 7 Colores,2019-03-11,18,
7 Notas 7 Colores,2019-03-12,24,
7 Notas 7 Colores,2019-03-13,23,
7 Notas 7 Colores,2019-03-14,31,
7 Notas 7 Colores,2019-03-15,32,
7 Notas 7 Colores,2019-03-16,27,
7 Notas 7 Colores,2019-03-17,29,
7 Notas 7 Colores,2019-03-18,35,
7 Notas 7 Colores,2019-03-19,34,
7 Notas 7 Colores,2019-03-20,32,
7 Notas 7 Colores,2019-03-21,22,
7 Notas 7 Colores,2019-03-22,25,
7 Notas 7 Colores,2019-03-23,14,
7 Notas 7 Colores,2019-03-24,22,
7 Notas 7 Colores,2019-03-25,25,
7 Notas 7 Colores,2019-03-26,31,
7 Notas 7 Colores,2019-03-27,25,
7 Notas 7 Colores,2019-03-28,35,
7 Notas 7 Colores,2019-03-29,29,
7 Notas 7 Colores,2019-03-30,26,
7 Notas 7 Colores,2019-03-31,18,
7 Notas 7 Colores,2019-04-01,15,
7 Notas 7 Colores,2019-04-02,31,
7 Notas 7 Colores,2019-04-03,26,
7 Notas 7 Colores,2019-04-04,26,
7 Notas 7 Colores,2019-04-05,108,
7 Notas 7 Colores,2019-04-06,54,
7 Notas 7 Colores,2019-04-07,44,
7 Notas 7 Colores,2019-04-08,29,
7 Notas 7 Colores,2019-04-09,36,
7 Notas 7 Colores,2019-04-10,33,
7 Notas 7 Colores,2019-04-11,33,
7 Notas 7 Colores,2019-04-12,22,
7 Notas 7 Colores,2019-04-13,25,
7 Notas 7 Colores,2019-04-14,18,
7 Notas 7 Colores,2019-04-15,26,
7 Notas 7 Colores,2019-04-16,27,
7 Notas 7 Colores,2019-04-17,24,
7 Notas 7 Colores,2019-04-18,27,
7 Notas 7 Colores,2019-04-19,19,
7 Notas 7 Colores,2019-04-20,19,
7 Notas 7 Colores,2019-04-21,26,
7 Notas 7 Colores,2019-04-22,21,
7 Notas 7 Colores,2019-04-23,31,
7 Notas 7 Colores,2019-04-24,28,
7 Notas 7 Colores,2019-04-25,19,
7 Notas 7 Colores,2019-04-26,33,
7 Notas 7 Colores,2019-04-27,28,
7 Notas 7 Colores,2019-04-28,24,
7 Notas 7 Colores,2019-04-29,33,
7 Notas 7 Colores,2019-04-30,40,
7 Notas 7 Colores,2019-05-01,22,
7 Notas 7 Colores,2019-05-02,32,
7 Notas 7 Colores,2019-05-03,44,
7 Notas 7 Colores,2019-05-04,23,
7 Notas 7 Colores,2019-05-05,34,
7 Notas 7 Colores,2019-05-06,31,
7 Notas 7 Colores,2019-05-07,24,
7 Notas 7 Colores,2019-05-08,23,
7 Notas 7 Colores,2019-05-09,27,
7 Notas 7 Colores,2019-05-10,17,
7 Notas 7 Colores,2019-05-11,12,
7 Notas 7 Colores,2019-05-12,23,
7 Notas 7 Colores,2019-05-13,42,
7 Notas 7 Colores,2019-05-14,28,
7 Notas 7 Colores,2019-05-15,20,
7 Notas 7 Colores,2019-05-16,31,
7 Notas 7 Colores,2019-05-17,13,
7 Notas 7 Colores,2019-05-18,22,
7 Notas 7 Colores,2019-05-19,21,
7 Notas 7 Colores,2019-05-20,11,
7 Notas 7 Colores,2019-05-21,21,
7 Notas 7 Colores,2019-05-22,22,
7 Notas 7 Colores,2019-05-23,18,57
7 Notas 7 Colores,2019-05-24,16,
7 Notas 7 Colores,2019-05-25,25,
7 Notas 7 Colores,2019-05-26,23,
