"artista","fecha","visitas"
"Santiago Auserón","2019-02-21",76
"Santiago Auserón","2019-02-22",108
"Santiago Auserón","2019-02-23",100
"Santiago Auserón","2019-02-24",88
"Santiago Auserón","2019-02-25",83
"Santiago Auserón","2019-02-26",72
"Santiago Auserón","2019-02-27",75
"Santiago Auserón","2019-02-28",91
"Santiago Auserón","2019-03-01",108
"Santiago Auserón","2019-03-02",104
"Santiago Auserón","2019-03-03",103
"Santiago Auserón","2019-03-04",96
"Santiago Auserón","2019-03-05",103
"Santiago Auserón","2019-03-06",62
"Santiago Auserón","2019-03-07",109
"Santiago Auserón","2019-03-08",80
"Santiago Auserón","2019-03-09",133
"Santiago Auserón","2019-03-10",136
"Santiago Auserón","2019-03-11",74
"Santiago Auserón","2019-03-12",82
"Santiago Auserón","2019-03-13",103
"Santiago Auserón","2019-03-14",71
"Santiago Auserón","2019-03-15",94
"Santiago Auserón","2019-03-16",108
"Santiago Auserón","2019-03-17",92
"Santiago Auserón","2019-03-18",89
"Santiago Auserón","2019-03-19",93
"Santiago Auserón","2019-03-20",107
"Santiago Auserón","2019-03-21",347
"Santiago Auserón","2019-03-22",201
"Santiago Auserón","2019-03-23",141
"Santiago Auserón","2019-03-24",151
"Santiago Auserón","2019-03-25",81
"Santiago Auserón","2019-03-26",102
"Santiago Auserón","2019-03-27",247
"Santiago Auserón","2019-03-28",247
"Santiago Auserón","2019-03-29",316
"Santiago Auserón","2019-03-30",264
"Santiago Auserón","2019-03-31",222
"Santiago Auserón","2019-04-01",133
"Santiago Auserón","2019-04-02",126
"Santiago Auserón","2019-04-03",175
"Santiago Auserón","2019-04-04",104
"Santiago Auserón","2019-04-05",155
"Santiago Auserón","2019-04-06",121
"Santiago Auserón","2019-04-07",125
"Santiago Auserón","2019-04-08",618
"Santiago Auserón","2019-04-09",207
"Santiago Auserón","2019-04-10",101
"Santiago Auserón","2019-04-11",98
"Santiago Auserón","2019-04-12",111
"Santiago Auserón","2019-04-13",172
"Santiago Auserón","2019-04-14",120
"Santiago Auserón","2019-04-15",85
"Santiago Auserón","2019-04-16",101
"Santiago Auserón","2019-04-17",131
"Santiago Auserón","2019-04-18",107
"Santiago Auserón","2019-04-19",116
"Santiago Auserón","2019-04-20",100
"Santiago Auserón","2019-04-21",110
"Santiago Auserón","2019-04-22",130
"Santiago Auserón","2019-04-23",139
"Santiago Auserón","2019-04-24",144
"Santiago Auserón","2019-04-25",109
"Santiago Auserón","2019-04-26",150
"Santiago Auserón","2019-04-27",125
"Santiago Auserón","2019-04-28",78
"Santiago Auserón","2019-04-29",63
"Santiago Auserón","2019-04-30",69
"Santiago Auserón","2019-05-01",89
"Santiago Auserón","2019-05-02",102
"Santiago Auserón","2019-05-03",118
"Santiago Auserón","2019-05-04",98
"Santiago Auserón","2019-05-05",88
"Santiago Auserón","2019-05-06",81
"Santiago Auserón","2019-05-07",69
"Santiago Auserón","2019-05-08",67
"Santiago Auserón","2019-05-09",71
"Santiago Auserón","2019-05-10",110
"Santiago Auserón","2019-05-11",128
"Santiago Auserón","2019-05-12",116
"Santiago Auserón","2019-05-13",135
"Santiago Auserón","2019-05-14",153
"Santiago Auserón","2019-05-15",139
"Santiago Auserón","2019-05-16",137
"Santiago Auserón","2019-05-17",197
"Santiago Auserón","2019-05-18",162
"Santiago Auserón","2019-05-19",173
"Santiago Auserón","2019-05-20",98
"Santiago Auserón","2019-05-21",313
"Santiago Auserón","2019-05-22",110
"Santiago Auserón","2019-05-23",202
"Santiago Auserón","2019-05-24",154
"Santiago Auserón","2019-05-25",189
"Santiago Auserón","2019-05-26",139
"Santiago Auserón","2019-05-27",94
"Santiago Auserón","2019-05-28",596
