"artista","fecha","visitas"
"Los Ronaldos","2019-03-18",58
"Los Ronaldos","2019-03-19",82
"Los Ronaldos","2019-03-20",58
"Los Ronaldos","2019-03-21",141
"Los Ronaldos","2019-03-22",114
"Los Ronaldos","2019-03-23",70
"Los Ronaldos","2019-03-24",94
"Los Ronaldos","2019-03-25",68
"Los Ronaldos","2019-03-26",62
"Los Ronaldos","2019-03-27",69
"Los Ronaldos","2019-03-28",88
"Los Ronaldos","2019-03-29",63
"Los Ronaldos","2019-03-30",76
"Los Ronaldos","2019-03-31",67
"Los Ronaldos","2019-04-01",59
"Los Ronaldos","2019-04-02",72
"Los Ronaldos","2019-04-03",63
"Los Ronaldos","2019-04-04",61
"Los Ronaldos","2019-04-05",79
"Los Ronaldos","2019-04-06",115
"Los Ronaldos","2019-04-07",73
"Los Ronaldos","2019-04-08",60
"Los Ronaldos","2019-04-09",60
"Los Ronaldos","2019-04-10",54
"Los Ronaldos","2019-04-11",100
"Los Ronaldos","2019-04-12",82
"Los Ronaldos","2019-04-13",83
"Los Ronaldos","2019-04-14",77
"Los Ronaldos","2019-04-15",58
"Los Ronaldos","2019-04-16",48
"Los Ronaldos","2019-04-17",53
"Los Ronaldos","2019-04-18",66
"Los Ronaldos","2019-04-19",79
"Los Ronaldos","2019-04-20",78
"Los Ronaldos","2019-04-21",59
"Los Ronaldos","2019-04-22",50
"Los Ronaldos","2019-04-23",56
"Los Ronaldos","2019-04-24",49
"Los Ronaldos","2019-04-25",56
"Los Ronaldos","2019-04-26",75
"Los Ronaldos","2019-04-27",61
"Los Ronaldos","2019-04-28",46
"Los Ronaldos","2019-04-29",44
"Los Ronaldos","2019-04-30",63
"Los Ronaldos","2019-05-01",51
"Los Ronaldos","2019-05-02",46
"Los Ronaldos","2019-05-03",60
"Los Ronaldos","2019-05-04",54
"Los Ronaldos","2019-05-05",60
"Los Ronaldos","2019-05-06",44
"Los Ronaldos","2019-05-07",48
"Los Ronaldos","2019-05-08",43
"Los Ronaldos","2019-05-09",45
"Los Ronaldos","2019-05-10",51
"Los Ronaldos","2019-05-11",77
"Los Ronaldos","2019-05-12",62
"Los Ronaldos","2019-05-13",60
"Los Ronaldos","2019-05-14",96
"Los Ronaldos","2019-05-15",49
"Los Ronaldos","2019-05-16",62
"Los Ronaldos","2019-05-17",1725
"Los Ronaldos","2019-05-18",97
"Los Ronaldos","2019-05-19",57
"Los Ronaldos","2019-05-20",55
"Los Ronaldos","2019-05-21",109
"Los Ronaldos","2019-05-22",65
"Los Ronaldos","2019-05-23",206
"Los Ronaldos","2019-05-24",124
"Los Ronaldos","2019-05-25",90
"Los Ronaldos","2019-05-26",57
"Los Ronaldos","2019-05-27",52
"Los Ronaldos","2019-05-28",78
"Los Ronaldos","2019-05-29",78
"Los Ronaldos","2019-05-30",60
"Los Ronaldos","2019-05-31",68
"Los Ronaldos","2019-06-01",61
"Los Ronaldos","2019-06-02",46
"Los Ronaldos","2019-06-03",67
"Los Ronaldos","2019-06-04",65
"Los Ronaldos","2019-06-05",54
"Los Ronaldos","2019-06-06",46
"Los Ronaldos","2019-06-07",63
"Los Ronaldos","2019-06-08",80
"Los Ronaldos","2019-06-09",55
"Los Ronaldos","2019-06-10",57
"Los Ronaldos","2019-06-11",68
"Los Ronaldos","2019-06-12",34
"Los Ronaldos","2019-06-13",66
"Los Ronaldos","2019-06-14",70
"Los Ronaldos","2019-06-15",62
"Los Ronaldos","2019-06-16",68
"Los Ronaldos","2019-06-17",65
"Los Ronaldos","2019-06-18",166
"Los Ronaldos","2019-06-19",74
"Los Ronaldos","2019-06-20",67
"Los Ronaldos","2019-06-21",74
"Los Ronaldos","2019-06-22",85
"Los Ronaldos","2019-06-23",94
"Los Ronaldos","2019-06-24",55
"Los Ronaldos","2019-06-25",49
