"artista","fecha","visitas"
"La Oreja de Van Gogh","2019-01-23",863
"La Oreja de Van Gogh","2019-01-24",899
"La Oreja de Van Gogh","2019-01-25",822
"La Oreja de Van Gogh","2019-01-26",789
"La Oreja de Van Gogh","2019-01-27",911
"La Oreja de Van Gogh","2019-01-28",665
"La Oreja de Van Gogh","2019-01-29",707
"La Oreja de Van Gogh","2019-01-30",675
"La Oreja de Van Gogh","2019-01-31",707
"La Oreja de Van Gogh","2019-02-01",713
"La Oreja de Van Gogh","2019-02-02",679
"La Oreja de Van Gogh","2019-02-03",715
"La Oreja de Van Gogh","2019-02-04",646
"La Oreja de Van Gogh","2019-02-05",654
"La Oreja de Van Gogh","2019-02-06",634
"La Oreja de Van Gogh","2019-02-07",717
"La Oreja de Van Gogh","2019-02-08",668
"La Oreja de Van Gogh","2019-02-09",682
"La Oreja de Van Gogh","2019-02-10",741
"La Oreja de Van Gogh","2019-02-11",711
"La Oreja de Van Gogh","2019-02-12",698
"La Oreja de Van Gogh","2019-02-13",683
"La Oreja de Van Gogh","2019-02-14",717
"La Oreja de Van Gogh","2019-02-15",757
"La Oreja de Van Gogh","2019-02-16",704
"La Oreja de Van Gogh","2019-02-17",777
"La Oreja de Van Gogh","2019-02-18",726
"La Oreja de Van Gogh","2019-02-19",699
"La Oreja de Van Gogh","2019-02-20",750
"La Oreja de Van Gogh","2019-02-21",713
"La Oreja de Van Gogh","2019-02-22",733
"La Oreja de Van Gogh","2019-02-23",723
"La Oreja de Van Gogh","2019-02-24",832
"La Oreja de Van Gogh","2019-02-25",662
"La Oreja de Van Gogh","2019-02-26",695
"La Oreja de Van Gogh","2019-02-27",695
"La Oreja de Van Gogh","2019-02-28",622
"La Oreja de Van Gogh","2019-03-01",1175
"La Oreja de Van Gogh","2019-03-02",741
"La Oreja de Van Gogh","2019-03-03",710
"La Oreja de Van Gogh","2019-03-04",603
"La Oreja de Van Gogh","2019-03-05",677
"La Oreja de Van Gogh","2019-03-06",643
"La Oreja de Van Gogh","2019-03-07",711
"La Oreja de Van Gogh","2019-03-08",684
"La Oreja de Van Gogh","2019-03-09",651
"La Oreja de Van Gogh","2019-03-10",793
"La Oreja de Van Gogh","2019-03-11",949
"La Oreja de Van Gogh","2019-03-12",787
"La Oreja de Van Gogh","2019-03-13",734
"La Oreja de Van Gogh","2019-03-14",774
"La Oreja de Van Gogh","2019-03-15",740
"La Oreja de Van Gogh","2019-03-16",697
"La Oreja de Van Gogh","2019-03-17",901
"La Oreja de Van Gogh","2019-03-18",816
"La Oreja de Van Gogh","2019-03-19",733
"La Oreja de Van Gogh","2019-03-20",723
"La Oreja de Van Gogh","2019-03-21",790
"La Oreja de Van Gogh","2019-03-22",737
"La Oreja de Van Gogh","2019-03-23",710
"La Oreja de Van Gogh","2019-03-24",806
"La Oreja de Van Gogh","2019-03-25",745
"La Oreja de Van Gogh","2019-03-26",789
"La Oreja de Van Gogh","2019-03-27",737
"La Oreja de Van Gogh","2019-03-28",697
"La Oreja de Van Gogh","2019-03-29",614
"La Oreja de Van Gogh","2019-03-30",657
"La Oreja de Van Gogh","2019-03-31",756
"La Oreja de Van Gogh","2019-04-01",619
"La Oreja de Van Gogh","2019-04-02",642
"La Oreja de Van Gogh","2019-04-03",748
"La Oreja de Van Gogh","2019-04-04",700
"La Oreja de Van Gogh","2019-04-05",787
"La Oreja de Van Gogh","2019-04-06",723
"La Oreja de Van Gogh","2019-04-07",800
"La Oreja de Van Gogh","2019-04-08",729
"La Oreja de Van Gogh","2019-04-09",698
"La Oreja de Van Gogh","2019-04-10",667
"La Oreja de Van Gogh","2019-04-11",681
"La Oreja de Van Gogh","2019-04-12",631
"La Oreja de Van Gogh","2019-04-13",712
"La Oreja de Van Gogh","2019-04-14",744
"La Oreja de Van Gogh","2019-04-15",650
"La Oreja de Van Gogh","2019-04-16",641
"La Oreja de Van Gogh","2019-04-17",746
"La Oreja de Van Gogh","2019-04-18",677
"La Oreja de Van Gogh","2019-04-19",715
"La Oreja de Van Gogh","2019-04-20",683
"La Oreja de Van Gogh","2019-04-21",693
"La Oreja de Van Gogh","2019-04-22",727
"La Oreja de Van Gogh","2019-04-23",750
"La Oreja de Van Gogh","2019-04-24",722
"La Oreja de Van Gogh","2019-04-25",756
"La Oreja de Van Gogh","2019-04-26",663
"La Oreja de Van Gogh","2019-04-27",1156
"La Oreja de Van Gogh","2019-04-28",683
"La Oreja de Van Gogh","2019-04-29",1370
"La Oreja de Van Gogh","2019-04-30",768
"La Oreja de Van Gogh","2019-05-01",809
"La Oreja de Van Gogh","2019-05-02",761
"La Oreja de Van Gogh","2019-05-03",774
"La Oreja de Van Gogh","2019-05-04",750
"La Oreja de Van Gogh","2019-05-05",866
"La Oreja de Van Gogh","2019-05-06",711
"La Oreja de Van Gogh","2019-05-07",698
"La Oreja de Van Gogh","2019-05-08",714
"La Oreja de Van Gogh","2019-05-09",719
"La Oreja de Van Gogh","2019-05-10",699
"La Oreja de Van Gogh","2019-05-11",794
"La Oreja de Van Gogh","2019-05-12",731
"La Oreja de Van Gogh","2019-05-13",693
"La Oreja de Van Gogh","2019-05-14",759
"La Oreja de Van Gogh","2019-05-15",628
"La Oreja de Van Gogh","2019-05-16",768
"La Oreja de Van Gogh","2019-05-17",741
"La Oreja de Van Gogh","2019-05-18",842
"La Oreja de Van Gogh","2019-05-19",904
"La Oreja de Van Gogh","2019-05-20",736
"La Oreja de Van Gogh","2019-05-21",921
