"artista","fecha","visitas"
"Dani Martín","2019-01-23",594
"Dani Martín","2019-01-24",453
"Dani Martín","2019-01-25",578
"Dani Martín","2019-01-26",498
"Dani Martín","2019-01-27",558
"Dani Martín","2019-01-28",514
"Dani Martín","2019-01-29",470
"Dani Martín","2019-01-30",411
"Dani Martín","2019-01-31",502
"Dani Martín","2019-02-01",446
"Dani Martín","2019-02-02",489
"Dani Martín","2019-02-03",596
"Dani Martín","2019-02-04",548
"Dani Martín","2019-02-05",803
"Dani Martín","2019-02-06",457
"Dani Martín","2019-02-07",422
"Dani Martín","2019-02-08",464
"Dani Martín","2019-02-09",562
"Dani Martín","2019-02-10",650
"Dani Martín","2019-02-11",459
"Dani Martín","2019-02-12",520
"Dani Martín","2019-02-13",489
"Dani Martín","2019-02-14",457
"Dani Martín","2019-02-15",430
"Dani Martín","2019-02-16",413
"Dani Martín","2019-02-17",1064
"Dani Martín","2019-02-18",619
"Dani Martín","2019-02-19",1401
"Dani Martín","2019-02-20",801
"Dani Martín","2019-02-21",555
"Dani Martín","2019-02-22",530
"Dani Martín","2019-02-23",454
"Dani Martín","2019-02-24",500
"Dani Martín","2019-02-25",429
"Dani Martín","2019-02-26",437
"Dani Martín","2019-02-27",421
"Dani Martín","2019-02-28",388
"Dani Martín","2019-03-01",469
"Dani Martín","2019-03-02",531
"Dani Martín","2019-03-03",438
"Dani Martín","2019-03-04",544
"Dani Martín","2019-03-05",489
"Dani Martín","2019-03-06",466
"Dani Martín","2019-03-07",395
"Dani Martín","2019-03-08",463
"Dani Martín","2019-03-09",437
"Dani Martín","2019-03-10",510
"Dani Martín","2019-03-11",421
"Dani Martín","2019-03-12",375
"Dani Martín","2019-03-13",433
"Dani Martín","2019-03-14",456
"Dani Martín","2019-03-15",806
"Dani Martín","2019-03-16",543
"Dani Martín","2019-03-17",617
"Dani Martín","2019-03-18",597
"Dani Martín","2019-03-19",614
"Dani Martín","2019-03-20",594
"Dani Martín","2019-03-21",449
"Dani Martín","2019-03-22",413
"Dani Martín","2019-03-23",728
"Dani Martín","2019-03-24",552
"Dani Martín","2019-03-25",496
"Dani Martín","2019-03-26",409
"Dani Martín","2019-03-27",437
"Dani Martín","2019-03-28",359
"Dani Martín","2019-03-29",417
"Dani Martín","2019-03-30",553
"Dani Martín","2019-03-31",584
"Dani Martín","2019-04-01",458
"Dani Martín","2019-04-02",415
"Dani Martín","2019-04-03",430
"Dani Martín","2019-04-04",409
"Dani Martín","2019-04-05",414
"Dani Martín","2019-04-06",725
"Dani Martín","2019-04-07",460
"Dani Martín","2019-04-08",453
"Dani Martín","2019-04-09",364
"Dani Martín","2019-04-10",367
"Dani Martín","2019-04-11",377
"Dani Martín","2019-04-12",361
"Dani Martín","2019-04-13",387
"Dani Martín","2019-04-14",597
"Dani Martín","2019-04-15",322
"Dani Martín","2019-04-16",325
"Dani Martín","2019-04-17",375
"Dani Martín","2019-04-18",480
"Dani Martín","2019-04-19",529
"Dani Martín","2019-04-20",504
"Dani Martín","2019-04-21",440
"Dani Martín","2019-04-22",427
"Dani Martín","2019-04-23",444
"Dani Martín","2019-04-24",422
"Dani Martín","2019-04-25",737
"Dani Martín","2019-04-26",446
"Dani Martín","2019-04-27",425
"Dani Martín","2019-04-28",369
"Dani Martín","2019-04-29",336
"Dani Martín","2019-04-30",413
"Dani Martín","2019-05-01",410
"Dani Martín","2019-05-02",404
"Dani Martín","2019-05-03",468
"Dani Martín","2019-05-04",771
"Dani Martín","2019-05-05",1187
"Dani Martín","2019-05-06",1144
"Dani Martín","2019-05-07",675
"Dani Martín","2019-05-08",760
"Dani Martín","2019-05-09",676
"Dani Martín","2019-05-10",687
"Dani Martín","2019-05-11",737
"Dani Martín","2019-05-12",762
"Dani Martín","2019-05-13",558
"Dani Martín","2019-05-14",514
"Dani Martín","2019-05-15",572
"Dani Martín","2019-05-16",506
"Dani Martín","2019-05-17",518
"Dani Martín","2019-05-18",538
"Dani Martín","2019-05-19",559
"Dani Martín","2019-05-20",500
"Dani Martín","2019-05-21",457
